30lit,14040215,439.0km
24.87lit,14040221,336.2km
20lit,14040317,269.0km
26lit,14040323,415.0km
26lit,14040325,358.0km
17.86lit,14040331,116.5km
13lit,14040403,351.1km
20lit,14040404,324km
20lit,14040405,344.4km
19.9lit,
